class,text
no,iPhone  users are all almost retarded because well who the fuck spends 899.99 on a  iPhone  8  Hippys xD the higher the number went on the phone the more  expensive  it got [Example] oh look at me I got a  iPhone 13  that cost 1000$ because I have more money then sense leedle leedle lee!  pic.twitter.com/JRkRfq1Nvx
no,The  iPhone  repair charges are excruciatingly  expensive  #apple  #iphone  #iphone 13   https:// thenewspocket.com/2019/04/12/the -iphone-repair-charges-are-excruciatingly-expensive/ Â  â€¦
no,I  hate  that  iPhone  XR
no,@ Apple  I downloaded the latest update for my  iPhone 13  and now itâ€™s a  useless  brick. The battery is supped up twice as fast or more. Iâ€™m having to charge it 3 times a day now instead of once. I thought youâ€™d given this game up?? #battery  #iPhone 13  #iphone  #apple   #batterylife
no,is my  iphone 13  the only one that sometimes has the sc image quality at like 420p why is it so  bad  sometimes
no,I got the worst luck with phones. The  iPhone  7 I had before the  X  I replaced the screen prolly like 4 times. I  hate  them
no,I  hate  the  iPhone 13  camera 
no,Wow actually  HATE  the  iPhone 13  front camera 
no,I  hate  how quick the flashlight turns on the  iPhone 13
no,I really  dislike  that I canâ€™t use my aux AND charger on my  iPhone 13   pic.twitter.com/egZhxaELJg
no,OMG  HATE  THE  IPHONE 13 !! Does anyone else screen shot peoples stories??? Say if you turn the volume up
no,I  hate  smartphones that do  useless  gimmicks...... Like popping up a camera or swiveling or folding
no,I think the only thing I  hate  about having the  iPhone 13  is how much fucking space is wasted in my photos of all my accidental screenshots 
no,No cap I  hate  the  iPhone 13
no,I  hate  the Face ID on the  iPhone 13  
no,@ AppleSupport  I  hate  my  iphone 13  and my wife does too. Why does it take longer to unlock the  iphone 13  with facial recognition and having to swipe up. Than with  iphone  7 plus with thumb print recognition and no swiping up. It doesnt make sense for newer technology to be slower.
no,THEY DID IT ON A  IPhone 13  AND THE QUALITY WAS STILL  BAD  DNDJJD
no,The  iPhone 13  has a  bad  display? we can agree
no,I  dislike  the layout of information on the top of the screen of the  iPhone 13 /s/r/ range.
no,Honestly the  iPhone 13  sucks so  bad
no,Iâ€™m gonna need @Apple  to do better with these damn phones. Iâ€™ve had 4 iPhones it takes for me to get the  iPhone 13  to  hate  my damn phone. Soon all the insides will be on the outside with this glass back being broken and costing $500+ to fix   #annoyed  #iPhone 13
no,The one crisis I have with that is  iPhone 13  only has one lightning port so if I need to also charge it with my portacharger on the go im screwed lol apple is ruining all their shit first that then the new macbooks are terrible with falling apart keyboards and a  useless  touch bar
no,I did the new battery exchange with my 6+ works fantastic again. Do not like the  iPhone 13  nor the XR. Too  expensive  !
no,I think about petty shit.. I  hate  the way the  iPhone 13  series screenshot look  .
no,I absolutely  hate  this  iPhone 13  camera.... basura
yes,The things I want so  bad  rn are an  iPhone 13  a laptop a gf and maybe a polaroid film camera
no,Just called @Apple  to find out when their trade in event ends on the  IPhone 13 .  Apple customer service person didnâ€™t know when it would end or didnâ€™t even know when it started.  Stop playing games.   Bad  customer service!
no,I  hate  this lil black bar across my damn screen on this  iPhone 13  
no,Battery life of my  iPhone 13  so  bad
no,Iâ€™m starting to  hate  my  iPhone 13
no,i rlly need someone to convince me that getting an  iphone 13  aint worth it or else i think im gonna make my parents pay 9000â‚º for a stupid phone AND THAT MAKES ME FEEL SO  BAD
no,iPhone 13 ... signal and data still very  bad
no,stingeyness levels so boltonanion â€œÂ£30 a month for an  iPhone 13  is still too  expensive â€
no,i  hate  the  iPhone 13  i almost dropped it and screenshotted this in the process  pic.twitter.com/XAEDQ2Tu4N
no,literally the only thing I  hate  about the  iphone 13  series is the fucking screenshot mechanic
no,We have to attack the  iPhone  users for giving us  hate  cause we have ' bad ' camera quality when all the new phones (androids) have better camera quality than the  iPhone 13  rÂ± like bro get a fucking grip your acting like the  iPhone  has been around for thousands of years.
no,i  hate  the  iphone 13  camera
no,I have the  X ! I want to get a Samsung phone and go back to Android but I donâ€™t  hate   iPhone 13 
no,I  hate  the  iPhone 13  stay censoring shit off my phone like Iâ€™m a little ass kid or something.
no,Only thing I  hate  about the  iPhone 13  is that I canâ€™t fucking charge my phone and listen to music at the same time. Like bro I ainâ€™t tryna buy no $200 headphones for me just to lose one in a week
no,I use to be ON TOP of taking pics with everybody anytime I went anywhere or did anything... the camera on my  iPhone 13  has changed all that. I  hate  the camera on this thing. also
no,I  hate  when people have  IPhone 13 â€™s and their camera quality is  bad .
no,the one thing i  hate  about the  iphone 13  is that it has no fingerprint sensor
no,my  iphone 13  is broken and i am having a meltdown. it's stuck on the apple logo and i know there's no way to fix it and also my contract is so  expensive  and now i dont even have a phone. why does everything always go wrng for me
no,Am I the only one who has such a  bad  luck with Apple products recently?
yes,@ tim_cook  it's a humble request to you and your Apple company  iPhone 13 's max is  expensive  please do something reduce the price by $200 and I promise people will start buying it.. make every people a dream phone.YNWA
no,My  iPhone 13  blacked out @Apple  is holding 1
no,@ Kaitgirlosb  So I got this  iPhone 13  at work today... ever had any phones as  bad  as this?  pic.twitter.com/W34IQiF1Tm
no,The onlyyyy thing I  dislike  about the  iPhone 13  is that itâ€™s so easy to screenshot I literally do it all the time unintentionally 
no,I honestly  hate  the quality of my  iPhone 13  front camera my 8 is way better 
no,The  hate  for my  iPhone 13  is so real rite now it controls itâ€™s self I canâ€™t do anything on it so pissed
no,I  hate  my  iphone 13  battery its at 89% and totally shit
no,Reduce your pride and be humble
no,i fucking  hate   iphone 13 ???? 
no,Who thought it would be a good idea to have something you swipe up from the bottom to access seeing as the  iPhone 13  and XS goes to the home screen when you do so.... welcome to the new  useless  app from @Honda  @HondaInAmerica pic.twitter.com/DLBBKAirRr
no,I was at a lunch and looked around to notice that of 10 people... only one had upgraded to the  iPhone 13  and it kind of hit me... how  bad  are apples  iphone  sales right now that they basically have to go all in on a netflix clone streaming service...  $ appl
no,i  hate  the way  iphone 13  videos look
no,Same Iâ€™d  hate  to have this phone ( iPhone 13 ) and get absolutely nothing should be like a bundle but without the vbucks included if you get what I mean
no,only  bad  thing about having facial ID unlock on the  iPhone 13  is when you wake up in the morning looking a mess and it cant recognize your face
no,change to A5... seems decent tho.  iPhone 13  is too  expensive  ;(
no,Oh really? As far as I'm aware the  Iphone  7-8+ X -Xr-XS-XS got increasingly  expensive  as each new model released. Sure it went down eventually
no,I have  iPhone 13 . I started with android HTC Droid 1 & 2 and have since been iOS for  8+ years. Contemplating a switch to Samsung s10 or s10e. 
no,Having the newest  iPhone  now ( X  and up) just made it  useless
no,Ugh I  hate  when the  iPhone 13  face recognition doesnâ€™t work because youâ€™re wearing your ray bans
no,IPhone 13  no tiene 3d touch i  hate  it
no,Worst service ever experience from Hazratganj @AppleSupport  .just little dust on my  iPhone 13  and I told her to pls just clean once and rudely denied and said you need to pay.why people go with  expensive  devices as they not even giving premium service to customers @AppleSupport
no,You said  expensive  brands?wow looking your selfie with  iPhone 13  series make me wanna selfie with Nokia 3310
no,My piece of shit  iPhone 13  never works with iTunes on my iMac. @apple  FUCK YOU for making shitty
no,I used to  hate   iPhone â€™s hotspot which gets auto-disconnected on not receiving any ack from connected device within  X  mins.
no,Sheâ€™s owns an  iPhone 13  but the camera quality is still  bad  
no,I filed a complain about my  iPhone 13  so they can ship me out a new one (and a different color bc I  hate  the color I have rn but there was no more other colors) AND THEY TOLD ME THEY WERE SHIPPING THE SAME PRODUCT   ugh all the complaining for nothing
no,To create new airpods which re so simular to the old ones spending on this a few years. Apple disappointed fisrt when released the last one  iphone  XS which is so simular to the  X  one but much more  expensive  and closed  X  one trading.
no,I was surprised it has the latest processor.  Plus the apple pencil.  I like the feel of the newer apple pencil in my hand since it is squared off but you canâ€™t have everything.  I  hate  face id on my  iPhone 13 .  Half the time I hold it too close and it fails.
no,i  hate  this stupid  iphone 13  i canâ€™t listen to music and charge my phone at the same time i will NOT BUY THAT STUPID THING
no,I can't use this because I  hate  iPhones and
no,no offense but i  hate  the assistive touch on an  iphone 13 . it jss bothers me smhh.
no,I take so many unwanted screenshots with this  iPhone 13  Max. I  hate  this.
